Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent
http://odu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://umaryland.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,391,391,unknown,Unknown
https://usfca.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,399,399,unknown,Unknown
http://jmu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
http://carleton.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown
https://utsa.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,404,404,unknown,Unknown
http://maine.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,405,405,unknown,Unknown
http://unisa.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,395,395,au,Oceania
http://richmond.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown
http://wwu.edu,Compliant,Granular Consent Evaluated,399,401,unknown,Unknown
http://sandiego.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://austlii.edu.au,Non-Compliant - No Consent Mechanism,No Granular Options Found,396,396,au,Oceania
http://uncg.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown
http://smith.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown
http://whoi.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown
http://howard.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown
http://latrobe.edu.au,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,au,Oceania
http://stsci.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,425,425,unknown,Unknown
http://ndsu.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown
http://ksu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,426,426,unknown,Unknown
https://ucanr.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,430,430,unknown,Unknown
http://siu.edu,Compliant,No Granular Options Found,438,437,unknown,Unknown
https://bcm.edu,Compliant,Granular Consent Evaluated,434,426,unknown,Unknown
http://nju.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia
http://boisestate.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown
