Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After
https://sdsu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,545,545
https://fordham.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,571,571
https://unh.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,562,562
https://ua.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,560,560
https://fiu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,556,556
https://drexel.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,583,584
https://american.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,571,571
https://uvm.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,578,578
https://ub.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,576,576
https://cuhk.edu.hk,Non-Compliant - No Consent Mechanism,No Granular Options Found,582,582
https://adelaide.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,614,635
https://uc.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,616,616
https://kit.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,601,601
https://ucar.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,606,606
https://vcu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,602,602
https://cityu.edu.hk,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,617,617
http://ohio-state.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
https://okstate.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,621,621
https://ou.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,611,611
http://ntu.edu.tw,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
https://utm.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,626,626
https://tulane.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,613,617
http://baylor.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
https://auburn.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,610,617
https://wvu.edu,Non-Compliant - Cookies Set Before Consent,No Granular Options Found,641,641
https://uab.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,625,625
https://uwa.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,656,656
https://pdx.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,649,649
https://exploratorium.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,647,647
https://smu.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,699,699
https://sjsu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,670,675
https://csun.edu,Non-Compliant - Cookies Set Before Consent,No Granular Options Found,681,681
https://mtu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,688,688
https://rmit.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,724,724
