Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent,Website_clean
http://prgs.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,prgs.edu
http://lsr.edu.in,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,in,Asia,lsr.edu.in
http://ufsb.edu.br,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,br,South America,ufsb.edu.br
http://jones.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,jones.edu
http://cienciassociales.edu.uy,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,uy,Unknown,cienciassociales.edu.uy
https://speed.edu.my,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,6,6,my,Asia,speed.edu.my
https://brownsenglish.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,15,15,au,Oceania,brownsenglish.edu.au
http://sdfi.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,sdfi.edu.cn
http://zbnc.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,zbnc.edu.cn
http://svtcc.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,svtcc.edu.cn
https://aauekpoma.edu.ng,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,9,9,ng,Africa,aauekpoma.edu.ng
http://sapc.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,sapc.edu
https://morgancc.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,10,10,unknown,Unknown,morgancc.edu
http://fede.education,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,fede.education
http://adu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,adu.edu
http://rmwc.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,rmwc.edu
http://libguides.com.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown,libguides.com.edu
http://hnit.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,hnit.edu.cn
http://stanleycollege.edu.au,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,au,Oceania,stanleycollege.edu.au
http://tjzj.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,tjzj.edu.cn
http://hnctcm.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,hnctcm.edu.cn
https://heights.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,24,24,unknown,Unknown,heights.edu
http://fjpsc.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,fjpsc.edu.cn
http://szjm.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,szjm.edu.cn
http://uaht.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown,uaht.edu
http://cffp.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown,cffp.edu
http://cccua.edu,Compliant,No Granular Options Found,27,28,unknown,Unknown,cccua.edu
http://nuce.edu.vn,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,27,27,vn,Unknown,nuce.edu.vn
http://smk.edu.kz,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,kz,Unknown,smk.edu.kz
https://unapec.edu.do,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,56,56,do,Unknown,unapec.edu.do
https://o6u.edu.eg,Non-Compliant - No Consent Mechanism,No Granular Options Found,55,55,eg,Africa,o6u.edu.eg
http://alleg.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,alleg.edu
http://zhuzit.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,zhuzit.edu.cn
http://gzhmt.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,gzhmt.edu.cn
http://hopkins.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown,hopkins.edu
http://vst.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,81,81,unknown,Unknown,vst.edu
http://divinemercy.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,divinemercy.edu
http://rims.edu.in,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,in,Asia,rims.edu.in
https://wesleycollege.edu.au,Compliant,Granular Consent Evaluated,119,126,au,Oceania,wesleycollege.edu.au
https://uav.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,117,117,unknown,Unknown,uav.edu
http://aimst.edu.my,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,aimst.edu.my
https://su.edu.krd,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,121,121,unknown,Unknown,su.edu.krd
https://utb.edu.bn,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,120,120,bn,Unknown,utb.edu.bn
http://muhs.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,140,140,unknown,Unknown,muhs.edu
https://dwci.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,134,134,unknown,Unknown,dwci.edu
http://heeact.edu.tw,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,tw,Unknown,heeact.edu.tw
http://km.edu.tw,Non-Compliant - No Consent Mechanism,No Granular Options Found,131,131,tw,Unknown,km.edu.tw
http://kuyper.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,kuyper.edu
http://uaccb.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,141,141,unknown,Unknown,uaccb.edu
https://zsmu.edu.ua,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,153,153,ua,Unknown,zsmu.edu.ua
https://usc.edu.eg,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,149,149,eg,Africa,usc.edu.eg
http://talk.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,200,200,unknown,Unknown,talk.edu
http://disd.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown,disd.edu
